label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
open,0.004277,-0.000120,-0.001699,-0.148540,-0.041930,-0.061660,-0.275953,-0.160492,-0.099335,-0.379712,-0.279919,-0.116688,-0.438926,-0.372223,-0.144015,-0.174141,-0.484601,-0.050217,-0.224103,-0.686358,-0.092724,-0.261195,-0.796911,-0.116939,-0.287935,-0.892859,-0.143766,-0.069897,-0.531710,-0.054928,-0.099664,-0.754995,-0.077030,-0.115415,-0.889389,-0.110832,-0.131848,-1.000485,-0.128013,0.014864,-0.511559,-0.075833,0.043640,-0.717904,-0.106785,0.040813,-0.862015,-0.143342,0.045009,-0.975778,-0.160987,0.113318,-0.462868,-0.095760,0.164327,-0.605180,-0.133335,0.190548,-0.699265,-0.149697,0.220271,-0.815136,-0.164197
open,0.010025,0.004265,-0.005217,-0.154076,-0.052688,-0.066811,-0.269478,-0.172110,-0.086520,-0.367484,-0.270315,-0.119397,-0.434444,-0.367930,-0.139215,-0.169789,-0.482419,-0.041918,-0.225131,-0.688747,-0.087539,-0.256278,-0.799581,-0.108975,-0.285636,-0.897750,-0.130816,-0.057821,-0.544946,-0.060637,-0.101872,-0.754206,-0.066217,-0.121468,-0.890078,-0.107760,-0.117127,-1.002326,-0.135764,0.016151,-0.503782,-0.070402,0.036972,-0.726565,-0.101468,0.032794,-0.864441,-0.146899,0.033502,-0.985042,-0.154779,0.113813,-0.464328,-0.080529,0.156874,-0.602550,-0.116583,0.200617,-0.704420,-0.144159,0.218534,-0.813118,-0.155058
open,0.000000,0.000000,0.000000,-0.153856,-0.050948,-0.058703,-0.275096,-0.164742,-0.091215,-0.364162,-0.268459,-0.119438,-0.434912,-0.361650,-0.146249,-0.164488,-0.485280,-0.045450,-0.222234,-0.680758,-0.081998,-0.258246,-0.799107,-0.115650,-0.283275,-0.900864,-0.142663,-0.070370,-0.523759,-0.052759,-0.094609,-0.748374,-0.081035,-0.111835,-0.888032,-0.111663,-0.125040,-1.000000,-0.136848,0.021261,-0.509427,-0.069529,0.031506,-0.724019,-0.107819,0.036936,-0.854715,-0.139403,0.036653,-0.970757,-0.163612,0.107708,-0.454174,-0.091645,0.163279,-0.604622,-0.132881,0.196134,-0.705617,-0.154473,0.222151,-0.803290,-0.169372
open,0.002508,-0.001619,-0.006921,-0.154619,-0.042510,-0.063099,-0.277199,-0.162446,-0.103096,-0.354517,-0.270346,-0.115876,-0.427526,-0.362261,-0.143582,-0.164445,-0.483929,-0.046320,-0.229428,-0.671421,-0.064806,-0.255361,-0.799780,-0.110349,-0.283558,-0.907842,-0.144936,-0.066571,-0.528069,-0.051998,-0.092030,-0.754961,-0.075320,-0.106628,-0.873336,-0.109186,-0.117978,-1.000769,-0.132387,0.010116,-0.512554,-0.072739,0.030673,-0.728392,-0.114910,0.041668,-0.839790,-0.144147,0.033469,-0.973949,-0.163658,0.105590,-0.455599,-0.093124,0.162579,-0.612376,-0.123656,0.199565,-0.703819,-0.156819,0.227915,-0.806299,-0.168280
open,0.003127,0.005907,0.006263,-0.145640,-0.045582,-0.067753,-0.273809,-0.164049,-0.082554,-0.363250,-0.275378,-0.112286,-0.422115,-0.365150,-0.139243,-0.152780,-0.485622,-0.047853,-0.225572,-0.682526,-0.078532,-0.252604,-0.800697,-0.111072,-0.278162,-0.887967,-0.141784,-0.064840,-0.531353,-0.059240,-0.104001,-0.740387,-0.082767,-0.109898,-0.888949,-0.115911,-0.131391,-0.996980,-0.135232,0.025336,-0.508860,-0.070785,0.043209,-0.731512,-0.105532,0.038088,-0.854342,-0.138644,0.046965,-0.984551,-0.159013,0.104330,-0.447749,-0.101727,0.160334,-0.608160,-0.135105,0.193359,-0.690017,-0.156080,0.225044,-0.794597,-0.176934
open,-0.000972,-0.012759,0.001054,-0.149253,-0.059708,-0.057064,-0.270500,-0.165793,-0.097184,-0.366004,-0.264677,-0.120713,-0.432649,-0.350496,-0.147112,-0.159890,-0.485307,-0.046136,-0.229486,-0.685063,-0.081086,-0.256766,-0.795818,-0.106743,-0.285986,-0.902255,-0.139214,-0.074632,-0.522785,-0.032738,-0.078244,-0.739665,-0.080070,-0.122426,-0.885004,-0.098705,-0.128724,-0.992832,-0.137789,0.025217,-0.512160,-0.066939,0.030468,-0.722183,-0.101533,0.035595,-0.854525,-0.147278,0.029436,-0.959897,-0.163780,0.103055,-0.451964,-0.088532,0.160758,-0.606373,-0.135360,0.200634,-0.710438,-0.160398,0.216040,-0.811361,-0.169281
open,0.000000,0.000000,0.000000,-0.145857,-0.052705,-0.057642,-0.265060,-0.168186,-0.091149,-0.345380,-0.279461,-0.120297,-0.407405,-0.381252,-0.148398,-0.156094,-0.475313,-0.055240,-0.212231,-0.672546,-0.096190,-0.247081,-0.792444,-0.131092,-0.269680,-0.896660,-0.158075,-0.062367,-0.511226,-0.063837,-0.079960,-0.739920,-0.096748,-0.092499,-0.883667,-0.128363,-0.101921,-1.000000,-0.153479,0.027477,-0.496343,-0.081048,0.044106,-0.712685,-0.122964,0.054035,-0.846450,-0.155225,0.057588,-0.963523,-0.178956,0.110701,-0.440506,-0.103203,0.170817,-0.594028,-0.146356,0.207771,-0.695322,-0.167963,0.236662,-0.790226,-0.182360
open,0.001051,0.001344,-0.006109,-0.140785,-0.058825,-0.053494,-0.262461,-0.169435,-0.098999,-0.352634,-0.276266,-0.112127,-0.413956,-0.377079,-0.151037,-0.149972,-0.481319,-0.047250,-0.210102,-0.675610,-0.091565,-0.249800,-0.790701,-0.137975,-0.277610,-0.896816,-0.157941,-0.066391,-0.520083,-0.071767,-0.091907,-0.748642,-0.088680,-0.093386,-0.886195,-0.119946,-0.103570,-0.999253,-0.159199,0.027005,-0.496780,-0.079458,0.057306,-0.718713,-0.118178,0.046700,-0.834930,-0.148497,0.065194,-0.948742,-0.188574,0.101580,-0.427108,-0.101737,0.169740,-0.593918,-0.150227,0.209292,-0.681322,-0.168745,0.242727,-0.801545,-0.190210
open,-0.001878,-0.004434,0.002958,-0.148938,-0.054401,-0.062687,-0.264260,-0.159952,-0.097459,-0.344492,-0.277301,-0.109645,-0.409126,-0.389338,-0.146934,-0.142809,-0.466341,-0.060312,-0.207298,-0.665372,-0.092433,-0.246569,-0.789897,-0.128802,-0.268990,-0.898032,-0.178325,-0.063518,-0.503401,-0.056878,-0.081655,-0.740935,-0.095289,-0.099143,-0.883004,-0.136500,-0.106117,-0.997306,-0.161974,0.022258,-0.493195,-0.074715,0.059245,-0.708111,-0.111733,0.054886,-0.849757,-0.153883,0.057277,-0.963695,-0.173212,0.102353,-0.434673,-0.105312,0.172281,-0.594545,-0.139808,0.202200,-0.699127,-0.176897,0.245646,-0.793864,-0.181795
open,0.006392,0.002689,-0.003890,-0.138873,-0.054096,-0.060495,-0.267541,-0.176583,-0.105231,-0.351066,-0.277519,-0.130892,-0.400590,-0.383361,-0.154339,-0.156116,-0.474226,-0.057273,-0.210839,-0.675804,-0.102014,-0.247221,-0.789708,-0.126994,-0.274872,-0.889270,-0.150615,-0.052410,-0.519013,-0.069224,-0.075486,-0.746077,-0.093836,-0.087405,-0.883758,-0.126974,-0.094301,-1.001373,-0.156513,0.011226,-0.488245,-0.076540,0.043120,-0.724003,-0.131921,0.053135,-0.843784,-0.160981,0.046055,-0.958339,-0.173614,0.112189,-0.434559,-0.101357,0.166237,-0.593960,-0.144830,0.196610,-0.691362,-0.173261,0.238325,-0.790161,-0.174287
open,0.000000,0.000000,0.000000,-0.170651,-0.071162,-0.068660,-0.314414,-0.233898,-0.107123,-0.401453,-0.398508,-0.145162,-0.385313,-0.562835,-0.174905,-0.207067,-0.605729,0.000331,-0.251534,-0.787944,-0.064657,-0.285953,-0.882900,-0.124666,-0.315194,-0.911861,-0.159206,-0.098051,-0.655308,-0.004360,-0.098645,-0.892086,-0.062063,-0.120466,-1.000000,-0.105110,-0.151299,-0.986177,-0.121340,0.004767,-0.647284,-0.025858,0.017493,-0.860516,-0.074275,0.000089,-0.964079,-0.090585,-0.027579,-0.976400,-0.088136,0.100623,-0.587538,-0.056901,0.125216,-0.757895,-0.099292,0.114810,-0.873751,-0.114570,0.094664,-0.943262,-0.112231
open,-0.014865,-0.002779,-0.002214,-0.172328,-0.063865,-0.072907,-0.308083,-0.231307,-0.105771,-0.392689,-0.400207,-0.143157,-0.386739,-0.571554,-0.182355,-0.199072,-0.609090,0.004429,-0.259227,-0.799399,-0.057154,-0.287715,-0.878972,-0.115186,-0.322240,-0.919198,-0.155496,-0.089778,-0.654697,-0.004635,-0.095832,-0.892217,-0.057604,-0.127531,-1.005272,-0.107460,-0.145877,-0.991738,-0.135180,0.013997,-0.641734,-0.023746,0.019897,-0.864615,-0.078112,-0.000176,-0.970905,-0.087094,-0.025713,-0.971869,-0.101739,0.108405,-0.588131,-0.049385,0.128609,-0.758025,-0.103218,0.111588,-0.873730,-0.119085,0.094140,-0.934732,-0.106919
open,-0.004412,-0.009011,0.007967,-0.172513,-0.071817,-0.076098,-0.329118,-0.223179,-0.106706,-0.404606,-0.385807,-0.147081,-0.375821,-0.568842,-0.174610,-0.203670,-0.607599,-0.011205,-0.255512,-0.801304,-0.067410,-0.284249,-0.893161,-0.123872,-0.318080,-0.916001,-0.160176,-0.104031,-0.661174,-0.004236,-0.093502,-0.897823,-0.050542,-0.114082,-1.003734,-0.108813,-0.139939,-0.987656,-0.113260,0.000087,-0.654806,-0.014486,0.026138,-0.863243,-0.076257,0.004972,-0.956410,-0.087189,-0.037893,-0.989487,-0.092446,0.108751,-0.580655,-0.054230,0.121218,-0.758967,-0.099337,0.112410,-0.873142,-0.119163,0.093965,-0.948087,-0.116517
open,-0.003651,0.000919,0.006072,-0.167249,-0.064325,-0.073243,-0.309888,-0.229403,-0.110606,-0.401482,-0.391028,-0.158844,-0.388360,-0.563639,-0.166799,-0.205272,-0.611925,-0.002657,-0.254382,-0.797890,-0.071076,-0.290238,-0.881630,-0.129260,-0.308472,-0.911180,-0.160188,-0.088504,-0.653543,-0.009524,-0.095065,-0.896756,-0.067388,-0.122221,-0.992235,-0.096624,-0.151472,-0.989948,-0.121767,0.010722,-0.652177,-0.030387,0.015637,-0.852872,-0.075550,0.013021,-0.961479,-0.091204,-0.028859,-0.977847,-0.097607,0.086914,-0.586208,-0.047907,0.122501,-0.761662,-0.104344,0.119118,-0.874460,-0.103244,0.098248,-0.945766,-0.109769
open,0.000000,0.000000,0.000000,-0.151224,-0.066305,-0.061922,-0.270046,-0.199079,-0.094668,-0.338353,-0.323829,-0.122766,-0.365873,-0.444787,-0.147821,-0.146146,-0.534723,-0.038548,-0.199221,-0.719025,-0.077523,-0.237589,-0.829582,-0.114047,-0.273887,-0.921316,-0.140915,-0.041278,-0.563620,-0.043682,-0.038078,-0.783132,-0.072653,-0.055559,-0.909058,-0.101505,-0.082852,-1.000000,-0.122509,0.054454,-0.540981,-0.059778,0.076952,-0.738101,-0.096748,0.067846,-0.852043,-0.121551,0.047796,-0.948867,-0.137202,0.139177,-0.475945,-0.082209,0.199360,-0.639608,-0.119477,0.228251,-0.748496,-0.135751,0.246200,-0.851227,-0.144035
open,-0.012563,0.005727,-0.000105,-0.147334,-0.059277,-0.056987,-0.266434,-0.209080,-0.082371,-0.334339,-0.325177,-0.121768,-0.370312,-0.447132,-0.152348,-0.138978,-0.538637,-0.044329,-0.202740,-0.726761,-0.080101,-0.231875,-0.826292,-0.115467,-0.274446,-0.923866,-0.145875,-0.043252,-0.553112,-0.043895,-0.038979,-0.781650,-0.070169,-0.063064,-0.922222,-0.105034,-0.082475,-1.000031,-0.117852,0.062156,-0.539805,-0.057514,0.064818,-0.732414,-0.089242,0.063454,-0.859311,-0.124153,0.057575,-0.960342,-0.134852,0.143856,-0.476716,-0.086370,0.200128,-0.638131,-0.119468,0.219726,-0.753303,-0.141888,0.254247,-0.858730,-0.148352
open,-0.001522,-0.004620,0.005813,-0.154494,-0.062682,-0.061754,-0.277473,-0.210634,-0.084173,-0.342601,-0.339314,-0.113742,-0.357958,-0.446730,-0.139541,-0.144820,-0.542928,-0.034848,-0.201793,-0.719389,-0.081151,-0.254132,-0.815921,-0.116853,-0.276947,-0.926337,-0.144877,-0.033733,-0.560004,-0.048183,-0.036337,-0.787220,-0.082234,-0.059805,-0.904864,-0.102568,-0.092270,-0.997302,-0.119351,0.058468,-0.544590,-0.075668,0.081733,-0.737571,-0.094836,0.068325,-0.848184,-0.127276,0.051558,-0.939271,-0.150543,0.134507,-0.480794,-0.072218,0.185940,-0.642824,-0.112584,0.230191,-0.752038,-0.138127,0.257886,-0.850331,-0.143937
open,-0.002497,0.001581,0.002705,-0.150563,-0.077626,-0.054021,-0.275072,-0.206875,-0.095760,-0.341327,-0.324365,-0.124955,-0.369276,-0.440387,-0.146088,-0.147794,-0.536490,-0.028238,-0.210164,-0.710669,-0.067136,-0.225826,-0.843937,-0.108796,-0.277234,-0.914348,-0.142982,-0.040490,-0.564915,-0.046899,-0.041648,-0.777786,-0.079497,-0.055793,-0.914584,-0.108829,-0.075272,-1.008319,-0.114209,0.057855,-0.540647,-0.055744,0.085690,-0.742982,-0.104079,0.060150,-0.846112,-0.115977,0.048691,-0.956709,-0.137527,0.145278,-0.483541,-0.078029,0.201423,-0.637190,-0.117132,0.227440,-0.744882,-0.132765,0.243235,-0.851772,-0.146518
open,0.000000,0.000000,0.000000,-0.130891,-0.088339,-0.055799,-0.232006,-0.231679,-0.088524,-0.284676,-0.367250,-0.118457,-0.296450,-0.493996,-0.145917,-0.083195,-0.504205,-0.039170,-0.129372,-0.686530,-0.089962,-0.174880,-0.793544,-0.134874,-0.222126,-0.885461,-0.165412,0.006817,-0.531773,-0.048142,0.003638,-0.751344,-0.089481,-0.031188,-0.891586,-0.127644,-0.079333,-1.000000,-0.154280,0.087483,-0.510403,-0.066843,0.121501,-0.696554,-0.112156,0.108550,-0.808496,-0.140758,0.079964,-0.898138,-0.156829,0.155810,-0.449981,-0.091335,0.222001,-0.603889,-0.130868,0.255767,-0.715038,-0.147431,0.274064,-0.811766,-0.155244
open,-0.008050,-0.005062,-0.000390,-0.127649,-0.094891,-0.061819,-0.245280,-0.239613,-0.082545,-0.291974,-0.359431,-0.129875,-0.300928,-0.490511,-0.147292,-0.082732,-0.508300,-0.036526,-0.139540,-0.693717,-0.094219,-0.189262,-0.784794,-0.130876,-0.226543,-0.882836,-0.161820,-0.002653,-0.535841,-0.055248,0.002382,-0.745678,-0.083901,-0.038611,-0.892176,-0.135469,-0.080498,-1.001732,-0.148401,0.092866,-0.507175,-0.054888,0.110605,-0.693706,-0.115213,0.103505,-0.814006,-0.127910,0.087829,-0.895966,-0.155114,0.160378,-0.441434,-0.095347,0.214703,-0.605370,-0.139330,0.257379,-0.712036,-0.143041,0.274390,-0.813295,-0.157853
open,0.004868,-0.007854,-0.007435,-0.131929,-0.092961,-0.044491,-0.219707,-0.231070,-0.096232,-0.290570,-0.353954,-0.120781,-0.297224,-0.489816,-0.152010,-0.083484,-0.505667,-0.030311,-0.130432,-0.679235,-0.090688,-0.162801,-0.795918,-0.135833,-0.228831,-0.884059,-0.153120,-0.002494,-0.538808,-0.042470,-0.004612,-0.756495,-0.091419,-0.034928,-0.886364,-0.126076,-0.082308,-0.996215,-0.153495,0.093606,-0.507060,-0.067324,0.117667,-0.697045,-0.114792,0.112644,-0.804686,-0.147827,0.086038,-0.898808,-0.152517,0.158109,-0.448514,-0.090924,0.224769,-0.593220,-0.134210,0.252791,-0.711590,-0.152104,0.273377,-0.804258,-0.159321
open,-0.007045,-0.002398,0.000663,-0.131966,-0.093541,-0.055290,-0.239069,-0.226250,-0.084405,-0.283838,-0.364169,-0.121749,-0.302264,-0.496155,-0.145174,-0.085094,-0.511874,-0.034587,-0.115618,-0.682462,-0.098451,-0.172760,-0.794134,-0.139387,-0.214918,-0.878797,-0.166499,0.013376,-0.538038,-0.040001,0.002004,-0.744691,-0.091487,-0.022246,-0.893346,-0.122257,-0.087712,-0.996557,-0.149286,0.088638,-0.501920,-0.073598,0.112440,-0.693113,-0.106547,0.105342,-0.802821,-0.139864,0.088509,-0.894815,-0.157401,0.163430,-0.442038,-0.094274,0.214676,-0.600198,-0.137420,0.261451,-0.715262,-0.148106,0.275299,-0.812145,-0.162740
open,0.000000,0.000000,0.000000,-0.127446,-0.094827,-0.057052,-0.233335,-0.227706,-0.094537,-0.308654,-0.341067,-0.129151,-0.359540,-0.447464,-0.163404,-0.080584,-0.511091,-0.051205,-0.118895,-0.701175,-0.098179,-0.146987,-0.818168,-0.139020,-0.170308,-0.918611,-0.168664,0.007411,-0.530003,-0.061697,0.024043,-0.751478,-0.100050,0.020760,-0.887914,-0.134120,0.011883,-1.000000,-0.159347,0.085094,-0.502868,-0.081609,0.128566,-0.712143,-0.125098,0.142966,-0.845382,-0.156213,0.147820,-0.960953,-0.177473,0.150101,-0.436991,-0.106946,0.220512,-0.589506,-0.148352,0.261853,-0.692847,-0.166727,0.293491,-0.785446,-0.177731
open,-0.002436,-0.004187,-0.004257,-0.129560,-0.089467,-0.047099,-0.231504,-0.218776,-0.096751,-0.309718,-0.342138,-0.129098,-0.360137,-0.451705,-0.163782,-0.082891,-0.512258,-0.048891,-0.123735,-0.705770,-0.113912,-0.150941,-0.828984,-0.128655,-0.177995,-0.923484,-0.172521,0.003732,-0.534786,-0.065566,0.017608,-0.752003,-0.109301,0.020412,-0.891940,-0.131094,0.019612,-0.998930,-0.156477,0.093910,-0.502277,-0.080801,0.129639,-0.709822,-0.116255,0.143398,-0.851912,-0.170378,0.146147,-0.963707,-0.176054,0.157449,-0.430005,-0.108766,0.224405,-0.579057,-0.152169,0.257691,-0.693130,-0.165332,0.294625,-0.782222,-0.176693
open,0.001141,-0.002969,-0.011693,-0.131724,-0.096517,-0.055110,-0.231056,-0.228525,-0.098444,-0.310255,-0.349253,-0.138556,-0.359505,-0.462037,-0.179100,-0.088158,-0.506933,-0.054347,-0.109868,-0.696858,-0.100127,-0.150517,-0.824013,-0.138248,-0.174689,-0.917345,-0.169585,0.000761,-0.525483,-0.059024,0.006572,-0.749415,-0.099304,0.025501,-0.885096,-0.125428,0.013450,-0.999545,-0.161132,0.083759,-0.513287,-0.083479,0.126474,-0.710738,-0.117502,0.132463,-0.839005,-0.147589,0.145132,-0.955892,-0.177782,0.152305,-0.439508,-0.110326,0.216914,-0.595585,-0.147412,0.259565,-0.688090,-0.162618,0.293275,-0.792835,-0.187154
open,-0.001024,-0.007585,-0.006582,-0.123051,-0.095427,-0.056676,-0.238983,-0.228063,-0.095249,-0.311261,-0.335599,-0.116000,-0.364395,-0.458877,-0.160024,-0.082290,-0.505526,-0.047887,-0.123630,-0.706650,-0.100344,-0.157136,-0.824529,-0.142738,-0.164455,-0.919488,-0.165323,0.015472,-0.538434,-0.058549,0.015662,-0.748471,-0.100708,0.008819,-0.879523,-0.143955,0.013802,-0.996403,-0.157213,0.081031,-0.516005,-0.077411,0.132970,-0.707151,-0.121344,0.152809,-0.843735,-0.147296,0.139964,-0.964315,-0.178877,0.157457,-0.440002,-0.115872,0.212698,-0.586455,-0.140733,0.256986,-0.689962,-0.157852,0.302971,-0.791573,-0.179308
